,Media,Date,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBC,Sun Jul 15 19:28:16 +0000 2018,Comedian Romesh Ranganathan travels to Albania to get an insider's guide to the country and to find out whether his… https://t.co/zfyqrKt8MK,0.3818,0.115,0.0,0.885,1
1,@BBC,Sun Jul 15 18:03:07 +0000 2018,"😂🍗❤️️ @jackwhitehall's theory about dating and Nando's never gets old...  #LiveAtTheApollo

https://t.co/TBdTRVOVet",0.0,0.0,0.0,1.0,2
2,@BBC,Sun Jul 15 17:04:03 +0000 2018,"The #ThaiCaveRescue boys now know that a volunteer died helping to save them, Thailand’s health ministry says.… https://t.co/Nf4Xk3p8ez",0.2023,0.235,0.157,0.609,3
3,@BBC,Sun Jul 15 16:58:50 +0000 2018,"France have won the World Cup! 

It’s ended #FRA 4-2 #CRO to give the French their second #WorldCup victory. 

👉… https://t.co/MR8ioqCtg7",0.6114,0.166,0.0,0.834,4
4,@BBC,Sun Jul 15 15:41:32 +0000 2018,"RT @BBCSport: GOAL! #FRA 2-1 #CRO 

Griezmann scores from the spot! What a first half this has been.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t…",0.0,0.0,0.0,1.0,5
5,@BBC,Sun Jul 15 15:40:59 +0000 2018,"Novak Djokovic is the 2018 #Wimbledon champion, beating Kevin Anderson to win the title for the fourth time. 👏 🏆🙌… https://t.co/gXfPxodXCn",0.6908,0.259,0.101,0.64,6
6,@BBC,Sun Jul 15 15:21:22 +0000 2018,"RT @BBCSport: GOAL! #FRA 1-0 #CRO 

It's an own goal!

Griezmann's free-kick flicks off the head of Mandzukic and in.

📺 @BBCOne 
📻 @5liveS…",0.0,0.0,0.0,1.0,7
7,@BBC,Sun Jul 15 14:55:00 +0000 2018,"⚽️Who will win the 2018 @FIFAWorldCup?

Head over to @BBCOne right now to watch France vs Croatia live from Moscow.… https://t.co/QMrhN3DelE",0.5859,0.16,0.0,0.84,8
8,@BBC,Sun Jul 15 14:19:43 +0000 2018,"RT @bbctennis: Plenty of famous faces around Centre Court today! 

- that or a really strange Comic-Con!

#bbctennis #wimbledon https://t.c…",-0.3973,0.0,0.136,0.864,9
9,@BBC,Sun Jul 15 13:21:23 +0000 2018,RT @BBCMOTD: #ENG leave Repino for the last time. Time to come home. https://t.co/0saQQB0VYh,-0.0516,0.0,0.085,0.915,10
10,@BBC,Sun Jul 15 12:59:04 +0000 2018,️⚽️@GaryLineker presents live coverage of France v Croatia in the 2018 World Cup final from Moscow's Luzhniki Stadi… https://t.co/CAlhSsYMsh,0.0,0.0,0.0,1.0,11
11,@BBC,Sun Jul 15 11:40:02 +0000 2018,Sue Barker presents live build-up to Novak Djokovic vs Kevin Anderson in the men’s singles final from Wimbledon 201… https://t.co/AAjf30BYut,0.0,0.0,0.0,1.0,12
12,@BBC,Sun Jul 15 11:01:00 +0000 2018,Should we all be adopting a plant-based diet? https://t.co/ptvgXS9KiZ,0.0,0.0,0.0,1.0,13
13,@BBC,Sun Jul 15 08:04:02 +0000 2018,"🌡🔥 How did you sleep last night? 

😴 If you're struggling to sleep in this heat, these tips could help... 

https://t.co/IPcOdix95L",-0.4215,0.0,0.118,0.882,14
14,@BBC,Sun Jul 15 07:30:14 +0000 2018,"""I would just sit there silently willing, willing his team to win” 

The truth about domestic violence and the… https://t.co/vXxAJNE380",-0.4215,0.094,0.168,0.738,15
15,@BBC,Sun Jul 15 07:03:04 +0000 2018,"Everyone has that one friend who hates camping. ⛺️😂 @RomeshRanga 

#TheMisadventuresOfRomeshRanganathan

https://t.co/aXISX3x3aS",0.0772,0.199,0.18,0.621,16
16,@BBC,Sat Jul 14 19:03:07 +0000 2018,"Tonight, @reginalddhunter takes a 2,000-mile musical road trip along the US-Mexico border. 🎶

Reginald D Hunter's S… https://t.co/K4ZHogg1lO",0.0,0.0,0.0,1.0,17
17,@BBC,Sat Jul 14 18:03:04 +0000 2018,There's a clear difference in the way boys and girls behave during a #heatwave. 😂☀️🌡 @JackWhitehall… https://t.co/SmGTMhnZ3M,0.3818,0.157,0.0,0.843,18
18,@BBC,Sat Jul 14 17:32:50 +0000 2018,🎾 Angelique Kerber beat seven-time champion Serena Williams to win her first #Wimbledon title.… https://t.co/O7Q0shxwSc,0.8271,0.372,0.0,0.628,19
19,@BBC,Sat Jul 14 16:23:10 +0000 2018,"RT @BBCSport: Angelique Kerber is the #wimbledon champion! 👏

The German beats Serena Williams to lift the trophy for the first time! 🙌
 
L…",0.6688,0.152,0.0,0.848,20
20,@BBC,Sat Jul 14 16:03:05 +0000 2018,"""We'll definitely keep in touch!""  👋 *Immediately blocks number* #Extras 

https://t.co/9gVnLDsdq0",0.6476,0.362,0.111,0.527,21
21,@BBC,Sat Jul 14 13:03:04 +0000 2018,A wild banana that may hold the key to protecting the world's edible banana crop has been put on the extinction lis… https://t.co/iU8sxtarEw,0.0,0.0,0.0,1.0,22
22,@BBC,Sat Jul 14 12:10:55 +0000 2018,"There she goes! 🚢 🌊

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is la… https://t.co/bYll3hTWpa",0.0,0.0,0.0,1.0,23
23,@BBC,Sat Jul 14 12:08:51 +0000 2018,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",0.5411,0.127,0.0,0.873,24
24,@BBC,Sat Jul 14 12:04:02 +0000 2018,"We all know a hipster restaurant that's taken things a bit too far... 🙄😂 

https://t.co/0N3WTRIUVu",0.0,0.0,0.0,1.0,25
25,@BBC,Sat Jul 14 11:13:46 +0000 2018,"RT @1Xtra: Tonight 9pm @Drake x @CharlieSloth 🔥🦂

#DrakeFITB https://t.co/LpqcF10QvH",0.0,0.0,0.0,1.0,26
26,@BBC,Sat Jul 14 11:07:03 +0000 2018,Sue Barker presents live coverage of Angelique Kerber vs Serena Williams in the women's singles final from Wimbledo… https://t.co/hFtwDO5Ma3,0.0,0.0,0.0,1.0,27
27,@BBC,Sat Jul 14 10:03:02 +0000 2018,"😲The man with world's longest fingernails has had them cut off after 66 years. 

https://t.co/FmC6KX7ZKP",-0.2732,0.0,0.13,0.87,28
28,@BBC,Sat Jul 14 09:54:33 +0000 2018,"RT @CBeebiesHQ: Look WHO is in for tonight's #BedtimeStory ⏳🌀

@Pearlie_mack reads Ellie's Magic Wellies 📖

@bbcdoctorwho

@AmySparkes

@Ea…",0.1027,0.069,0.0,0.931,29
29,@BBC,Sat Jul 14 09:07:03 +0000 2018,"This model was bitten by a shark while posing for a photo on holiday. 😮🦈
https://t.co/hQ5q69tVBZ https://t.co/TMYfQlnwto",0.4019,0.162,0.0,0.838,30
30,@BBC,Sat Jul 14 08:02:07 +0000 2018,"Meet the 8-year-old yoga expert who is winning national and international prizes. 🧘‍♂️

https://t.co/Rn4flrc6vh",0.7506,0.299,0.0,0.701,31
31,@BBC,Sat Jul 14 07:33:07 +0000 2018,"“It’s a love museum – just maybe upside down"". 💔

Welcome to the museum preserving the memories of broken hearts. 👉… https://t.co/KK5pBeeWWE",0.25,0.237,0.204,0.559,32
32,@BBC,Sat Jul 14 07:04:02 +0000 2018,"71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. ☄🔭🌠

https://t.co/fjWUaZC4zQ",-0.7003,0.0,0.266,0.734,33
33,@BBC,Fri Jul 13 20:32:04 +0000 2018,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",0.7964,0.272,0.0,0.728,34
34,@BBC,Fri Jul 13 18:31:05 +0000 2018,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",0.8268,0.312,0.0,0.688,35
35,@BBC,Fri Jul 13 18:30:37 +0000 2018,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",0.0,0.0,0.0,1.0,36
36,@BBC,Fri Jul 13 17:32:04 +0000 2018,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",-0.7876,0.0,0.331,0.669,37
37,@BBC,Fri Jul 13 17:02:05 +0000 2018,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",0.9022,0.335,0.0,0.665,38
38,@BBC,Fri Jul 13 15:59:00 +0000 2018,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",-0.0516,0.0,0.062,0.938,39
39,@BBC,Fri Jul 13 15:47:44 +0000 2018,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,0.0,0.0,0.0,1.0,40
40,@BBC,Fri Jul 13 15:04:04 +0000 2018,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",0.0382,0.048,0.0,0.952,41
41,@BBC,Fri Jul 13 12:03:03 +0000 2018,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",-0.7579,0.155,0.427,0.418,42
42,@BBC,Fri Jul 13 11:03:03 +0000 2018,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",0.3182,0.119,0.0,0.881,43
43,@BBC,Fri Jul 13 10:01:02 +0000 2018,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,0.0,0.0,0.0,1.0,44
44,@BBC,Fri Jul 13 09:59:32 +0000 2018,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,0.0,0.0,0.0,1.0,45
45,@BBC,Fri Jul 13 08:03:04 +0000 2018,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",0.0,0.0,0.0,1.0,46
46,@BBC,Fri Jul 13 07:27:05 +0000 2018,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",0.1779,0.091,0.0,0.909,47
47,@BBC,Fri Jul 13 07:03:02 +0000 2018,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",-0.4003,0.0,0.187,0.813,48
48,@BBC,Thu Jul 12 20:02:02 +0000 2018,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",-0.0772,0.0,0.071,0.929,49
49,@BBC,Thu Jul 12 18:04:07 +0000 2018,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",0.6249,0.194,0.0,0.806,50
50,@BBC,Thu Jul 12 17:03:06 +0000 2018,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,-0.7271,0.137,0.313,0.55,51
51,@BBC,Thu Jul 12 16:03:02 +0000 2018,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",0.0,0.0,0.0,1.0,52
52,@BBC,Thu Jul 12 14:47:18 +0000 2018,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",0.6597,0.31,0.178,0.512,53
53,@BBC,Thu Jul 12 13:04:03 +0000 2018,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",0.4404,0.146,0.0,0.854,54
54,@BBC,Thu Jul 12 12:04:04 +0000 2018,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",0.0,0.0,0.0,1.0,55
55,@BBC,Thu Jul 12 11:43:48 +0000 2018,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",-0.3182,0.0,0.087,0.913,56
56,@BBC,Thu Jul 12 11:02:03 +0000 2018,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,0.0,0.0,0.0,1.0,57
57,@BBC,Thu Jul 12 10:30:00 +0000 2018,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",0.0,0.0,0.0,1.0,58
58,@BBC,Thu Jul 12 08:03:03 +0000 2018,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",-0.1788,0.086,0.182,0.733,59
59,@BBC,Thu Jul 12 07:31:08 +0000 2018,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",0.0,0.0,0.0,1.0,60
60,@BBC,Thu Jul 12 07:03:04 +0000 2018,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",-0.3595,0.0,0.161,0.839,61
61,@BBC,Wed Jul 11 20:39:03 +0000 2018,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",0.1967,0.095,0.0,0.905,62
62,@BBC,Wed Jul 11 20:23:23 +0000 2018,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",0.0,0.0,0.0,1.0,63
63,@BBC,Wed Jul 11 20:03:46 +0000 2018,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",-0.1027,0.0,0.065,0.935,64
64,@BBC,Wed Jul 11 19:52:13 +0000 2018,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",0.3612,0.122,0.0,0.878,65
65,@BBC,Wed Jul 11 19:49:56 +0000 2018,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,-0.296,0.0,0.306,0.694,66
66,@BBC,Wed Jul 11 19:27:11 +0000 2018,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",0.0,0.0,0.0,1.0,67
67,@BBC,Wed Jul 11 19:20:29 +0000 2018,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",-0.0191,0.0,0.056,0.944,68
68,@BBC,Wed Jul 11 19:16:46 +0000 2018,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",0.0,0.0,0.0,1.0,69
69,@BBC,Wed Jul 11 19:02:33 +0000 2018,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",0.6705,0.224,0.0,0.776,70
70,@BBC,Wed Jul 11 19:02:02 +0000 2018,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,0.3182,0.126,0.0,0.874,71
71,@BBC,Wed Jul 11 18:50:03 +0000 2018,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",0.0,0.0,0.0,1.0,72
72,@BBC,Wed Jul 11 18:06:07 +0000 2018,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",0.0,0.0,0.0,1.0,73
73,@BBC,Wed Jul 11 18:00:11 +0000 2018,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",0.0,0.0,0.0,1.0,74
74,@BBC,Wed Jul 11 17:57:05 +0000 2018,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",0.0,0.0,0.0,1.0,75
75,@BBC,Wed Jul 11 17:01:04 +0000 2018,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",0.0,0.0,0.0,1.0,76
76,@BBC,Wed Jul 11 16:01:05 +0000 2018,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",0.0,0.0,0.0,1.0,77
77,@BBC,Wed Jul 11 13:03:06 +0000 2018,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,0.0,0.0,0.0,1.0,78
78,@BBC,Wed Jul 11 11:32:03 +0000 2018,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",0.5994,0.308,0.0,0.692,79
79,@BBC,Wed Jul 11 11:02:02 +0000 2018,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",0.3612,0.106,0.0,0.894,80
80,@BBC,Wed Jul 11 09:53:20 +0000 2018,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",0.0,0.0,0.0,1.0,81
81,@BBC,Wed Jul 11 09:32:05 +0000 2018,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",0.5719,0.171,0.0,0.829,82
82,@BBC,Wed Jul 11 09:04:05 +0000 2018,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",-0.2732,0.0,0.095,0.905,83
83,@BBC,Wed Jul 11 08:00:00 +0000 2018,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",0.5859,0.109,0.0,0.891,84
84,@BBC,Wed Jul 11 07:39:04 +0000 2018,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",0.8499,0.416,0.0,0.584,85
85,@BBC,Wed Jul 11 07:33:03 +0000 2018,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",-0.8402,0.0,0.429,0.571,86
86,@BBC,Wed Jul 11 07:03:05 +0000 2018,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",0.0,0.0,0.0,1.0,87
87,@BBC,Tue Jul 10 20:02:05 +0000 2018,"The heatwave has unveiled ancient hillforts and Roman settlements in Wales. 👉
 https://t.co/L1VdHWkMP7 https://t.co/luXjJV5v3Y",0.0,0.0,0.0,1.0,88
88,@BBC,Tue Jul 10 19:04:02 +0000 2018,"Take a look at the rollercoaster years at Nokia, a company that dominated a nation. 

The Rise and Fall of Nokia |… https://t.co/7uflzUaeTj",0.0,0.0,0.0,1.0,89
89,@BBC,Tue Jul 10 18:04:04 +0000 2018,"Can you feel richer by giving your money away? 💸 This lottery winner thinks so.

https://t.co/BgKlrEfssV",0.8625,0.39,0.0,0.61,90
90,@BBC,Tue Jul 10 17:31:05 +0000 2018,"'I wanted to live inside you like a parasite'. 

A letter to my first love 💌👉 https://t.co/batgnuHRoi https://t.co/G0kGuLzHqU",0.7717,0.324,0.0,0.676,91
91,@BBC,Tue Jul 10 15:32:02 +0000 2018,"🙅No one likes making mistakes, but messing up isn’t always a bad thing.

Here are six reasons why making mistakes c… https://t.co/N7jMLZKLcE",-0.8338,0.066,0.34,0.593,92
92,@BBC,Tue Jul 10 15:14:38 +0000 2018,"RT @bbctennis: Serena Williams has some pretty big names supporting her.

Oh hey, @Drake 

LIVE👉https://t.co/RIpcahMeKm
📺 @BBCOne 
#bbctenn…",0.7269,0.276,0.0,0.724,93
93,@BBC,Tue Jul 10 13:01:05 +0000 2018,"No one does strawberries like we do in Britain! 🍓🇬🇧🍦

Now they're in season, make the most of these delicious straw… https://t.co/QKdHxenZNu",0.6763,0.242,0.079,0.68,94
94,@BBC,Tue Jul 10 12:18:03 +0000 2018,'Everyone safe': all 12 members of a Thai youth football team and their coach have been brought safely out of the c… https://t.co/c5bzSFM2ND,0.4939,0.132,0.0,0.868,95
95,@BBC,Tue Jul 10 12:03:04 +0000 2018,"Neelam and Dinesh’s son Akash took his own life three years ago. 

Now they’re trying to get the British Asian comm… https://t.co/pX5ZIH2mj3",0.0,0.0,0.0,1.0,96
96,@BBC,Tue Jul 10 11:33:00 +0000 2018,"Ever found something weird and wonderful on a British beach? 

@BBCFOUR will be LIVE from the Jurassic Coast next w… https://t.co/CY4ej7SjQh",0.4588,0.158,0.073,0.769,97
97,@BBC,Tue Jul 10 11:04:01 +0000 2018,"Have you ever seen a baby puffin? 🐣

Experts worry we may not get the chance in the future if Scotland’s puffin pop… https://t.co/uRKs7VXQMv",-0.5632,0.0,0.174,0.826,98
98,@BBC,Tue Jul 10 09:17:05 +0000 2018,RT @bbcweather: Remember to look up around 1pm today if you're in London / SE / Suffolk / Colchester / Chelmsford for the @RoyalAirForce #R…,0.0,0.0,0.0,1.0,99
99,@BBC,Tue Jul 10 09:06:27 +0000 2018,"RT @BBCOne: “I felt like a piece of meat at a meat market”.

@BBCPanorama investigates President Donald Trump.

Tonight | 8.30pm | BBC One…",0.3612,0.116,0.0,0.884,100
100,@CBS,Fri Jul 13 21:35:01 +0000 2018,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",0.1139,0.078,0.0,0.922,1
101,@CBS,Fri Jul 13 21:15:41 +0000 2018,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",-0.4404,0.0,0.132,0.868,2
102,@CBS,Fri Jul 13 17:49:38 +0000 2018,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,0.0,0.0,0.0,1.0,3
103,@CBS,Thu Jul 12 01:01:24 +0000 2018,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,0.6514,0.282,0.0,0.718,4
104,@CBS,Wed Jul 11 21:44:45 +0000 2018,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",0.5562,0.174,0.0,0.826,5
105,@CBS,Wed Jul 11 19:09:34 +0000 2018,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",0.5411,0.143,0.0,0.857,6
106,@CBS,Mon Jul 09 23:55:07 +0000 2018,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,0.0,0.0,0.0,1.0,7
107,@CBS,Mon Jul 09 18:53:34 +0000 2018,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",-0.3818,0.0,0.106,0.894,8
108,@CBS,Mon Jul 09 18:09:00 +0000 2018,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",0.3182,0.103,0.0,0.897,9
109,@CBS,Fri Jul 06 22:22:55 +0000 2018,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",0.4019,0.153,0.0,0.847,10
110,@CBS,Fri Jul 06 18:26:37 +0000 2018,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,0.8622,0.39,0.0,0.61,11
111,@CBS,Thu Jul 05 21:12:17 +0000 2018,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,0.3612,0.102,0.0,0.898,12
112,@CBS,Mon Jul 02 21:13:11 +0000 2018,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",0.3182,0.108,0.0,0.892,13
113,@CBS,Mon Jul 02 20:47:32 +0000 2018,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,0.0,0.0,0.0,1.0,14
114,@CBS,Mon Jul 02 17:27:06 +0000 2018,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,0.0,0.0,0.0,1.0,15
115,@CBS,Mon Jul 02 17:00:02 +0000 2018,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",0.5411,0.259,0.0,0.741,16
116,@CBS,Wed Jun 27 20:31:32 +0000 2018,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,0.0,0.0,0.0,1.0,17
117,@CBS,Wed Jun 27 14:00:01 +0000 2018,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",0.7574,0.289,0.0,0.711,18
118,@CBS,Mon Jun 25 18:20:25 +0000 2018,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,0.5574,0.204,0.0,0.796,19
